blur,MAE,RMSE,Spearmans,Pearsons

3,0.16986679310093894,0.05869152204239023,0.8938295666064621,0.9138056939976724

9,0.2423279396256073,0.07770235077526046,0.8783339737253215,0.9021181002805629

15,0.2878810376219553,0.1003502490008422,0.8575005856361624,0.8853636827313733

21,0.3218856699933194,0.12165147505570005,0.8345250063268754,0.8644093376865828

27,0.34940727132636357,0.14106653728726512,0.8109725832255397,0.8419324634747947

brightness,MAE,RMSE,Spearmans,Pearsons

-128,0.287550115269809,0.10930583657475436,0.7871107515814565,0.8156441583464411

-64,0.19451510516464884,0.06645375300636688,0.868707996864901,0.8900578026494306

0,0.13243303301953235,0.05630932123233131,0.8967432254585291,0.9163769790302354

64,0.17913560098248243,0.06277567319463533,0.8861596060184711,0.904018223507217

128,0.2686432150233076,0.09573517822409985,0.8464852378209492,0.8608824210374582

contrast,MAE,RMSE,Spearmans,Pearsons

0.3000,0.32164925102734215,0.12082817212026609,0.8528687879280631,0.8663120459722028

0.7250,0.18062761061456098,0.06147382569141348,0.8926320155038547,0.9108429707969832

1.1500,0.14934978158536,0.057111206358014165,0.8953695545029845,0.9155985689028598

1.5750,0.18248195449043886,0.06187177117766097,0.8845538840030978,0.9074205857743571

2.0000,0.1983585120909523,0.06604998553893376,0.8719848045038164,0.8976348611716869

hflip,MAE,RMSE,Spearmans,Pearsons

-1,0.16195561675509876,0.05821443942098499,0.8901566441603141,0.9107239088179642

hue,MAE,RMSE,Spearmans,Pearsons

-0.42,0.18589305500517364,0.06195550034630936,0.8807302474034988,0.8981654990423017

-0.19,0.1923178834183666,0.06427014911839371,0.8746889099091005,0.890092349209262

0.15,0.18502043398705537,0.060108504927428495,0.8908740971869491,0.9083651439605009

0.32,0.19198194343784372,0.0624941085061415,0.8809547049562394,0.8985752633685777

0.49,0.18313058160302917,0.0609058400103435,0.8811391789809002,0.8996612564746669

jpeg,MAE,RMSE,Spearmans,Pearsons

90,0.13336973639626537,0.05667636499252488,0.8961756314532472,0.9155121432914368

70,0.13865223855247794,0.056571469014456366,0.895573055785396,0.9151196800061376

50,0.1445148796774804,0.05614650277887894,0.8953740716074386,0.9156023938969848

30,0.15513542384172152,0.056281094305790806,0.8948243698347924,0.9149363321880738

10,0.19610653115441865,0.062140894508122685,0.8874441771891288,0.9087301427672083

noise,MAE,RMSE,Spearmans,Pearsons

0.0100,0.14198003360461336,0.05735007404643175,0.8959909678205739,0.9148430687532012

0.0325,0.16559996062328514,0.05866532429625207,0.8908839763435542,0.908955767802978

0.0550,0.18150687636566246,0.060416456707431586,0.883338155864779,0.9006417915129508

0.0775,0.19318543198645038,0.06293848132370995,0.8749405912947676,0.8909466260134251

0.1000,0.20212165168236615,0.06541225205301407,0.866983344833436,0.8818061942318884

poosterize,MAE,RMSE,Spearmans,Pearsons

7,0.13182428398745763,0.05652749485406382,0.8963936425271732,0.9158727440586594

5,0.14618800159552234,0.056425591436157205,0.8955826676933837,0.9148609329171337

4,0.17471786286065816,0.05953230128281708,0.8920751576857266,0.910083404474126

2,0.2390239279833273,0.07974811331985132,0.8486385796367724,0.869890885455991

1,0.26207523819975703,0.09457805373379628,0.7575560221421708,0.7838344452959018

saturation,MAE,RMSE,Spearmans,Pearsons

0.3000,0.17603709465917686,0.060406963611946654,0.8901691172975794,0.9097186640981231

0.7250,0.1418307414857459,0.056936177654004855,0.8957441576940455,0.9152854642184893

1.1500,0.1365285246384403,0.05661503406865902,0.8962211747369396,0.9157812275213317

1.5750,0.15217996069956422,0.05744745616733653,0.894265187630214,0.9138371021936197

2.0000,0.16333234226613305,0.05843140918073302,0.8920279838956219,0.9114007408596163

