Metrics,ResNet-18 with IC9600
RMSE,0.32546948687084
RMAE,0.13585444072199707
Pearsonr,0.514200040980983
Spearman,0.4666180126175107
Metrics,ResNet-18 with Savoias
RMSE,0.430597783139986
RMAE,0.2218256766328984
Pearsonr,0.4775115236627628
Spearman,0.47844022921326296
Metrics,VGG-16 with IC9600
RMSE,0.40341635620255695
RMAE,0.2054897554863464
Pearsonr,0.5764868297782185
Spearman,0.5404515439454669
Metrics,VGG-16 with Savoias
RMSE,0.41313773602707543
RMAE,0.2095574253361106
Pearsonr,0.6195468000253971
Spearman,0.618400527410207
